Country,ISO3,Year,Female Literacy,Female Secondary Completion,Maternal Mortality,Skilled Birth Attendance,Infant Mortality,Under5 Mortality,GDP per Capita,Health Expenditure,Group
Afghanistan,AFG,2022,26.6000003814697,,551.0,,51.6,56.8,357.261152798144,80.6516037,Other
Africa Eastern and Southern,AFE,2022,68.0100021362305,44.5503196716309,269.0,,44.3419940282618,63.2067883145526,1675.90252377611,92.0352883967091,Other
Africa Western and Central,AFW,2022,52.4700012207031,40.2187118530273,674.0,,60.0961055630681,99.2832976933984,2143.07209365676,74.4796108722856,Other
Arab World,ARB,2022,70.9899978637695,68.4719009399414,129.0,,28.7270048384557,36.0409343939478,7960.81158770821,348.767262238545,Other
Armenia,ARM,2022,99.9000015258789,93.0791755828359,27.0,,9.3,10.5,6571.97445545099,674.78619385,Other
Bahrain,BHR,2022,96.1100006103516,103.166826003824,5.0,,7.0,8.4,30470.5219276023,1178.80664063,Other
Bangladesh,BGD,2022,76.5400009155273,85.8813019898072,131.0,,24.4,30.7,2716.48592780431,56.62142181,South Asia
Belize,BLZ,2022,87.879997253418,67.1833244254409,110.0,,10.9,12.8,7068.21728043145,298.01553345,Other
Benin,BEN,2022,41.5099983215332,26.5807399749756,547.0,,47.8,79.6,1266.42711031904,37.76291275,Other
Bhutan,BTN,2022,57.0,69.3197371974921,49.0,,15.1,19.0,3711.32767981591,138.00679016,Other
Brazil,BRA,2022,94.6464003280731,,104.0,,12.6,14.6,9281.33334441234,871.27526855,Other
Burkina Faso,BFA,2022,33.7299995422363,34.8243563274229,316.0,,46.1,79.8,827.330843486661,64.38339996,Other
Central Europe and the Baltics,CEB,2022,99.4700012207031,105.889038085938,7.0,,3.91785867447588,4.693924319098,19526.2463443821,1374.1600690946,Other
Colombia,COL,2022,95.4888520798825,87.4009780883789,74.0,,11.2,12.3,6680.44506854481,507.07064819,Other
Dominican Republic,DOM,2022,93.7060812731136,82.2773412796244,124.0,,29.1,32.3,10104.2464008585,469.34915161,Other
Early-demographic dividend,EAR,2022,76.0299987792969,80.7904815673828,112.0,,27.4783994736483,32.7176454900784,4017.48956260692,191.392926293627,Other
East Asia & Pacific,EAS,2022,94.9499969482422,96.7474670410156,72.0,,11.4,14.0,13219.5863562213,905.114818668488,Other
East Asia & Pacific (IDA & IBRD countries),TEA,2022,95.0999984741211,97.1366119384766,74.0,,11.9768707680509,14.7957069398733,10220.556668162,566.052535523033,Other
East Asia & Pacific (excluding high income),EAP,2022,95.1600036621094,97.0792694091797,74.0,,12.0161581242148,14.8448601956501,10107.0569545516,566.030286298373,Other
Ecuador,ECU,2022,95.7200012207031,95.0487913410255,69.0,,11.2,13.2,6515.58528418336,495.30380249,Other
"Egypt, Arab Rep.",EGY,2022,73.2952391702726,,24.0,,21.8,23.5,4233.30783744856,171.67852783,Other
El Salvador,SLV,2022,87.5932537503433,73.3767555465093,39.0,,9.5,10.8,5074.60050994225,500.20321655,Other
Eswatini,SWZ,2022,90.4100036621094,78.9075503101831,112.0,,45.9,47.3,3894.1620089869,284.75802612,Other
Ethiopia,ETH,2022,49.9599990844727,21.4115390777588,207.0,,48.3,68.1,982.103161502198,27.06845474,Sub-Saharan Africa
Europe & Central Asia,ECS,2022,98.4199981689453,92.0364685058594,14.0,,6.8,8.0,27968.286148204,2811.99788990336,Other
Europe & Central Asia (IDA & IBRD countries),TEC,2022,99.0,95.0569076538086,17.0,,9.44155700127317,11.1412663683546,11422.1622613514,732.6197329168,Other
Europe & Central Asia (excluding high income),ECA,2022,98.2300033569336,91.055419921875,21.0,,12.0899631951036,14.1403721981144,7264.37321853889,366.115150801706,Other
Georgia,GEO,2022,99.5400009155273,96.4222143111428,22.0,,7.7,9.0,6729.84659930283,546.22503662,Other
Guatemala,GTM,2022,78.6100006103516,50.9378322212547,97.0,,18.3,21.9,5356.92435887895,384.06158447,Other
Guinea-Bissau,GNB,2022,52.1599998474121,,539.0,,44.7,72.0,881.602654162231,68.01049042,Other
Heavily indebted poor countries (HIPC),HPC,2022,59.2700004577637,38.9091606140137,329.0,,47.5426552532361,70.9810827482135,1123.26894975331,50.1963992943632,Other
Honduras,HND,2022,88.9231965153054,,48.0,,13.6,16.0,3003.28996826399,244.90408325,Other
IBRD only,IBD,2022,87.1900024414062,92.1462936401367,74.0,,17.7580468498968,21.0193519897855,7679.78639337735,447.260654903885,Other
